    learning_rate  ...                         model_md5
0          0.0005  ...  8c37d993c632ed0d5b351ddea53105a6
1          0.0010  ...  eda194818be696ac5642916cc0b844dc
2          0.0010  ...  c2b2d4b52560dd8c8f89c2f36b9fe089
3          0.0010  ...  1476751849efa0440f59e12bf996020d
4          0.0001  ...  381b17e44d57017dbde1188b35c80c9b
5          0.0005  ...  c3a52f640af95779519340ed269a337a
6          0.0010  ...  a13e1e727faa7a4d16200686810b3b42
7          0.0005  ...  18cae5612d414ff587e8c29e89f86a4b
8          0.0005  ...  30774fb59f604622fd2cafabc873d615
9          0.0001  ...  2d505bfdc5fe339fb48eb3bbd93a8f24
10         0.0001  ...  3a0b739b548c86f019b9935cc91b3293
11         0.0010  ...  6f1370e5342ea47b56fa73b16a0e7fce
12         0.0010  ...  f9f27333e201b08926fe868dc0d9ba24
13         0.0010  ...  7b8d7db0858c5070720e33fb274fcc27
14         0.0005  ...  913ed31c5445c9cdafc69796036b67f0
15         0.0005  ...  ecc6fc97415e4e3e6e7fb07b7138af49
16         0.0005  ...  b7b43d45691fe4d0be8d664362e7978a
17         0.0010  ...  0ba0f59967d4417771856d793c0f7e7a
18         0.0001  ...  f14d65f19a23f7ecb3eec078c985d3b5
19         0.0001  ...  e9efd0254216272898972722cf197a4e
20         0.0005  ...  ac2ea5fc948a1bf7a465d4a2f070a0c4
21         0.0010  ...  f167481ae7fd4c6271bbec1ddaa2dcb2
22         0.0005  ...  302a6bfda06508cd6c31b801966a7437
23         0.0005  ...  4a669471f27555ebc79686220e590b0e
24         0.0001  ...  2702fd8d06ce801a5f71d7d322ab6e51
25         0.0001  ...  3237536e74660215b3e166cb6f98e2df
26         0.0001  ...  a5ee830daaff4fb46a846eb2f9087355
27         0.0001  ...  d140e65132543e96fd5622f771ba0c7c
28         0.0005  ...  65837f04d9eecf78d2bbcc8472a786ba

[29 rows x 11 columns]
